order_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob
1621302,power_finance_corporation,792,1,5,BUY,411.066,406.572,434.848,100,2026-06-15T15:29,"2026-07-13 16:29:28","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621303,recl,799,1,5,BUY,335.553,331.526,358.2,100,2026-06-15T15:29,"2026-07-13 16:29:29","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621304,tata_consumer_products,735,1,5,SELL,1164.94,1177.11,1105.05,100,2026-06-15T15:29,"2026-07-13 16:29:31","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621305,tech_mahindra,741,1,5,BUY,1380.37,1357.68,1478.91,100,2026-06-15T15:29,"2026-07-13 16:29:32","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621306,tvs_motor,732,1,5,BUY,3291.53,3207.79,3483,100,2026-06-15T15:29,"2026-07-13 16:29:33","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621307,varun_beverages,784,1,5,SELL,562.843,570.476,531,100,2026-06-15T15:29,"2026-07-13 16:29:34","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621308,united_spirits,796,1,5,BUY,1245.47,1225.7,1310.3,100,2026-06-15T15:29,"2026-07-13 16:29:34","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621309,adani_energy_solutions,802,1,25,SELL,1529.9,1547.91,1451.79,100,2026-06-15T15:29,"2026-07-13 16:29:36","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621310,adani_enterprises,626,1,25,SELL,3023.03,3068.63,2850,100,2026-06-15T15:29,"2026-07-13 16:29:37","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621311,adani_green,627,1,25,SELL,1532.09,1578.21,1429.4,100,2026-06-15T15:29,"2026-07-13 16:29:37","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621312,britannia_industries,652,1,25,BUY,4614.05,4336.64,5279.5,100,2026-06-15T15:29,"2026-07-13 16:29:42","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621313,divis_laboratories,660,1,25,SELL,6806.77,6973.77,6450.5,100,2026-06-15T15:29,"2026-07-13 16:29:46","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621314,dlf,782,1,25,SELL,617.373,630.737,580,100,2026-06-15T15:29,"2026-07-13 16:29:46","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -1336.4, 'loss_pct': -2.16}",1,1,"2026-06-16 09:45:00","2026-06-16 14:45:00",NULL,NULL,NULL,NULL
1621315,dr_reddys_laboratories,662,1,25,SELL,1304.05,1325.34,1188.1,100,2026-06-15T15:29,"2026-07-13 16:29:47","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621316,godrej_consumer,665,1,25,BUY,1003.7,987.978,1083.88,100,2026-06-15T15:29,"2026-07-13 16:29:49","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621317,havells_india,805,1,25,BUY,1148.92,1131.71,1219.4,100,2026-06-15T15:29,"2026-07-13 16:29:49","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621318,hcl_technologies,668,1,25,BUY,1123.68,1109.8,1296.41,100,2026-06-15T15:29,"2026-07-13 16:29:49","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621319,hdfc_life,674,1,25,BUY,550.174,541.838,582.926,100,2026-06-15T15:29,"2026-07-13 16:29:50","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621320,hdfcbank,1,1,25,BUY,753.1,738.29,801.265,100,2026-06-15T15:29,"2026-07-13 16:29:50","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621321,hindustan_aeronautics,677,1,25,BUY,4103.15,4002.51,4399.41,100,2026-06-15T15:29,"2026-07-13 16:29:51","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621322,hindustan_aeronautics,677,1,25,SELL,4420.5,4530.79,4113.17,100,2026-06-15T15:29,"2026-07-13 16:29:51","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': -580.0, 'current_pct_change': -0.13}",1,0,"2026-06-17 12:00:00",NULL,NULL,NULL,NULL,NULL
1621323,icicibank,3,1,25,BUY,1293.74,1280.4,1337.02,100,2026-06-15T15:29,"2026-07-13 16:29:53","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621324,indian_hotels,797,1,25,SELL,698.95,707.31,674.9,100,2026-06-15T15:29,"2026-07-13 16:29:53","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -836.0, 'loss_pct': -1.2}",1,1,"2026-06-17 14:30:00","2026-06-18 09:30:00",NULL,NULL,NULL,NULL
1621325,iocl,781,1,25,BUY,136.73,133.139,147.415,100,2026-06-15T15:29,"2026-07-13 16:29:54","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621326,jio_financial_service,775,1,25,BUY,230.345,226.411,243.55,100,2026-06-15T15:29,"2026-07-13 16:29:55","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621327,jsw_energy,807,1,25,SELL,579.43,588.47,559.5,100,2026-06-15T15:29,"2026-07-13 16:29:57","{'status': 'pending', 'reason': 'Still active', 'entry_hit': True, 'current_difference': 443.0, 'current_pct_change': 0.76}",1,0,"2026-06-17 14:30:00",NULL,NULL,NULL,NULL,NULL
1621328,ongc,769,1,25,BUY,232.909,227.958,244.49,100,2026-06-15T15:29,"2026-07-13 16:30:00","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621329,sbi_life,724,1,25,BUY,1696.44,1646.74,1805.18,100,2026-06-15T15:29,"2026-07-13 16:30:03","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621330,shree_cement,798,1,25,SELL,25055,25318.5,24355,100,2026-06-15T15:29,"2026-07-13 16:30:04","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -26350.0, 'loss_pct': -1.05}",1,1,"2026-06-16 15:00:00","2026-06-17 10:00:00",NULL,NULL,NULL,NULL
1621331,siemens,726,1,25,SELL,3754.96,3809.03,3593.9,100,2026-06-15T15:29,"2026-07-13 16:30:05","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621332,tata_consumer_products,735,1,25,BUY,1073.31,1057.4,1168.4,100,2026-06-15T15:29,"2026-07-13 16:30:06","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621333,tata_steel,739,1,25,BUY,188.743,186.033,200.34,100,2026-06-15T15:29,"2026-07-13 16:30:06","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621334,tech_mahindra,741,1,25,BUY,1421.53,1401.76,1478.5,100,2026-06-15T15:29,"2026-07-13 16:30:08","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621335,tvs_motor,732,1,25,BUY,3285.42,3211.25,3463.43,100,2026-06-15T15:29,"2026-07-13 16:30:10","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621336,varun_beverages,784,1,25,SELL,561.207,569.953,531,100,2026-06-15T15:29,"2026-07-13 16:30:11","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621337,abb_india,793,1,2,BUY,6726.57,6658.58,6957,100,2026-06-15T15:29,"2026-07-13 16:30:13","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1621338,adani_power,780,1,2,BUY,213.169,210.961,224.02,100,2026-06-15T15:29,"2026-07-13 16:30:15","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
