id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
882,ofss,OFSS.NS,1,NULL,OFSS,2748929,NSE:OFSS-EQ,1
883,oil_india,OIL.NS,1,NULL,OIL,4464129,NSE:OIL-EQ,0
884,paytm,PAYTM.NS,1,NULL,PAYTM,1716481,NSE:PAYTM-EQ,0
885,piramal_enterprises,PEL.NS,0,NULL,PEL,617473,NSE:PEL-EQ,0
886,persistent_systems,PERSISTENT.NS,1,NULL,PERSISTENT,4701441,NSE:PERSISTENT-EQ,1
887,phoenix_mills,PHOENIXLTD.NS,1,NULL,PHOENIXLTD,3725313,NSE:PHOENIXLTD-EQ,0
888,pnb_housing_finance,PNBHOUSING.NS,1,NULL,PNBHOUSING,4840449,NSE:PNBHOUSING-EQ,0
889,pb_fintech,POLICYBZR.NS,1,NULL,POLICYBZR,1703937,NSE:POLICYBZR-EQ,0
890,polycab_india,POLYCAB.NS,1,NULL,POLYCAB,2455041,NSE:POLYCAB-EQ,1
891,poonawalla_fincorp,POONAWALLA.NS,1,NULL,POONAWALLA,2919169,NSE:POONAWALLA-EQ,0
892,prestige_estates_projects_limited,PRESTIGE.NS,1,NULL,PRESTIGE,5197313,NSE:PRESTIGE-EQ,0
893,ramco_cements,RAMCOCEM.NS,1,NULL,RAMCOCEM,523009,NSE:RAMCOCEM-EQ,0
894,rbl_bank,RBLBANK.NS,1,NULL,RBLBANK,4708097,NSE:RBLBANK-EQ,0
895,sbi_cards_and_payment_services,SBICARD.NS,1,NULL,SBICARD,4600577,NSE:SBICARD-EQ,0
896,sjvn,SJVN.NS,1,NULL,SJVN,4834049,NSE:SJVN-EQ,0
897,solar_industries_india,SOLARINDS.NS,1,NULL,SOLARINDS,3412993,NSE:SOLARINDS-EQ,1
898,sona_blw_precision_forgings,SONACOMS.NS,1,NULL,SONACOMS,1199105,NSE:SONACOMS-EQ,0
899,supreme_industries,SUPREMEIND.NS,1,NULL,SUPREMEIND,860929,NSE:SUPREMEIND-EQ,1
900,syngene_international,SYNGENE.NS,1,NULL,SYNGENE,2622209,NSE:SYNGENE-EQ,0
901,tata_chemicals,TATACHEM.NS,1,NULL,TATACHEM,871681,NSE:TATACHEM-EQ,0
902,tata_communications,TATACOMM.NS,1,NULL,TATACOMM,952577,NSE:TATACOMM-EQ,0
903,tata_elxsi,TATAELXSI.NS,1,NULL,TATAELXSI,873217,NSE:TATAELXSI-EQ,1
904,tata_technologies,TATATECH.NS,1,NULL,TATATECH,5195009,NSE:TATATECH-EQ,0
905,tube_investments_of_india,TIINDIA.NS,1,NULL,TIINDIA,79873,NSE:TIINDIA-EQ,0
906,titagarh_rail_systems,TITAGARH.NS,1,NULL,TITAGARH,3945985,NSE:TITAGARH-EQ,0
907,torrent_power,TORNTPOWER.NS,1,NULL,TORNTPOWER,3529217,NSE:TORNTPOWER-EQ,0
908,union_bank_of_india,UNIONBANK.NS,1,NULL,UNIONBANK,2752769,NSE:UNIONBANK-EQ,0
909,voltas,VOLTAS.NS,1,NULL,VOLTAS,951809,NSE:VOLTAS-EQ,0
910,yes_bank,YESBANK.NS,1,NULL,YESBANK,3050241,NSE:YESBANK-EQ,0
912,godfrey_phillips_india,GODFRYPHLP.NS,1,NULL,GODFRYPHLP,302337,NSE:GODFRYPHLP-EQ,0
914,narayana_hrudayalaya,NH.NS,1,NULL,NH,3031041,NSE:NH-EQ,1
915,kaynes_technology_india,KAYNES.NS,1,NULL,KAYNES,3095553,NSE:KAYNES-EQ,1
916,garden_reach_shipbuilders_engineers,GRSE.NS,1,NULL,GRSE,1401601,NSE:GRSE-EQ,0
917,radico_khaitan,RADICO.NS,1,NULL,RADICO,2813441,NSE:RADICO-EQ,0
918,go_digit_general_insurance,GODIGIT.NS,1,NULL,GODIGIT,6092545,NSE:GODIGIT-EQ,0
919,iti,ITI.NS,1,NULL,ITI,428801,NSE:ITI-EQ,0
